# BUSCO version is: 5.4.3 
# The lineage dataset is: mollusca_odb10 (Creation date: 2020-08-05, number of genomes: 7, number of BUSCOs: 5295)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
240at6447	Complete	OX336380.1	25791803	25922849	-	1340.3	1321	https://www.orthodb.org/v10?query=240at6447	centriolin-like isoform X1
242at6447	Complete	OX336372.1	15304096	15375529	-	1805.0	1152	https://www.orthodb.org/v10?query=242at6447	tetratricopeptide repeat protein 21B isoform X1
243at6447	Complete	OX336367.1	60645571	60700371	-	2128.0	1299	https://www.orthodb.org/v10?query=243at6447	Nipped-B protein
244at6447	Complete	OX336374.1	34166266	34262212	-	1888.7	1431	https://www.orthodb.org/v10?query=244at6447	Dedicator of cytokinesis protein 1  
245at6447	Complete	OX336373.1	55879777	55887318	-	1476.6	1843	https://www.orthodb.org/v10?query=245at6447	uncharacterized protein LOC105336026
246at6447	Complete	OX336367.1	48335485	48370800	-	1813.5	1103	https://www.orthodb.org/v10?query=246at6447	Mediator of RNA polymerase II transcription subunit 23  
248at6447	Complete	OX336382.1	9776766	9909207	+	2024.2	1094	https://www.orthodb.org/v10?query=248at6447	Cullin-associated NEDD8-dissociated protein 1
249at6447	Complete	OX336367.1	21846618	21896431	-	1901.7	1258	https://www.orthodb.org/v10?query=249at6447	Glycogen debranching enzyme
250at6447	Complete	OX336368.1	42484534	42580178	-	1894.7	1581	https://www.orthodb.org/v10?query=250at6447	Nucleoporin 205
251at6447	Complete	OX336376.1	25341467	25427604	-	1971.1	1154	https://www.orthodb.org/v10?query=251at6447	ubiquitin carboxyl-terminal hydrolase 32-like
253at6447	Complete	OX336368.1	43762376	43779783	+	603.0	278	https://www.orthodb.org/v10?query=253at6447	Serine-protein kinase ATM  
254at6447	Complete	OX336373.1	40725551	40788745	+	1780.8	1205	https://www.orthodb.org/v10?query=254at6447	Cleavage and polyadenylation specificity factor subunit 1
256at6447	Fragmented	OX336366.1	52947265	52994702	-	2145.2	1183	https://www.orthodb.org/v10?query=256at6447	pecanex-like protein 1
257at6447	Complete	OX336367.1	40755114	40840408	-	1901.8	1466	https://www.orthodb.org/v10?query=257at6447	proteasome-associated protein ECM29 homolog
259at6447	Complete	OX336375.1	28127028	28258395	+	1614.3	1347	https://www.orthodb.org/v10?query=259at6447	Nuclear pore membrane glycoprotein 210
260at6447	Complete	OX336373.1	44220070	44313378	-	1614.8	1060	https://www.orthodb.org/v10?query=260at6447	5-oxoprolinase-like
263at6447	Complete	OX336375.1	23825480	24017116	+	2017.5	1248	https://www.orthodb.org/v10?query=263at6447	MAP kinase-activating death domain protein
264at6447	Complete	OX336378.1	26933069	27003014	-	2058.9	1238	https://www.orthodb.org/v10?query=264at6447	neuralized-like protein 4
269at6447	Complete	OX336373.1	47532663	47589804	-	1278.9	876	https://www.orthodb.org/v10?query=269at6447	TRS85-like protein
270at6447	Missing
271at6447	Complete	OX336366.1	74094121	74117222	+	1927.7	956	https://www.orthodb.org/v10?query=271at6447	exportin-1-like
272at6447	Complete	OX336380.1	40040975	40117348	+	1687.3	1156	https://www.orthodb.org/v10?query=272at6447	Laminin subunit gamma-1
274at6447	Complete	OX336376.1	11735056	11811339	+	1860.7	1507	https://www.orthodb.org/v10?query=274at6447	Mediator of RNA polymerase II transcription subunit 13
276at6447	Complete	OX336368.1	16390693	16453028	+	1523.0	1198	https://www.orthodb.org/v10?query=276at6447	EF-hand calcium-binding domain-containing protein 6-like isoform X1
278at6447	Complete	OX336368.1	68695043	68935548	-	765.7	510	https://www.orthodb.org/v10?query=278at6447	Neuron navigator 2  
284at6447	Complete	OX336375.1	34442462	34456499	+	1954.6	1481	https://www.orthodb.org/v10?query=284at6447	uncharacterized protein LOC101859566
287at6447	Complete	OX336378.1	36059426	36128658	+	1349.6	1050	https://www.orthodb.org/v10?query=287at6447	Phosphoinositide 3-kinase regulatory subunit 4
288at6447	Complete	OX336368.1	66233390	66307169	+	1888.2	990	https://www.orthodb.org/v10?query=288at6447	DNA-directed RNA polymerase III subunit RPC2-like
291at6447	Complete	OX336379.1	10644579	10723820	+	1576.9	1098	https://www.orthodb.org/v10?query=291at6447	UDP-glucose:glycoprotein glucosyltransferase 1-like
292at6447	Complete	OX336373.1	8238319	8323677	-	1860.1	1141	https://www.orthodb.org/v10?query=292at6447	WD repeat-containing protein 7 isoform X1
293at6447	Complete	OX336371.1	63783406	63828665	-	2508.3	1394	https://www.orthodb.org/v10?query=293at6447	lysine-specific demethylase 5A-like isoform X1
294at6447	Complete	OX336369.1	65326701	65428367	+	1600.5	943	https://www.orthodb.org/v10?query=294at6447	probable phospholipid-transporting ATPase IA isoform X1
295at6447	Complete	OX336366.1	70853057	70951567	-	1850.7	1299	https://www.orthodb.org/v10?query=295at6447	uncharacterized protein LOC106873141
300at6447	Complete	OX336376.1	18813314	18867584	+	1938.6	1052	https://www.orthodb.org/v10?query=300at6447	Clustered mitochondria protein homolog
302at6447	Complete	OX336375.1	46838160	46911956	-	2277.0	1512	https://www.orthodb.org/v10?query=302at6447	cytoskeleton-associated protein 5-like
304at6447	Complete	OX336366.1	27233231	27288654	+	1025.6	908	https://www.orthodb.org/v10?query=304at6447	EGF-like calcium-binding, conserved site
307at6447	Complete	OX336367.1	34532637	34594074	+	1180.7	1152	https://www.orthodb.org/v10?query=307at6447	rapamycin-insensitive companion of mTOR-like isoform X1
308at6447	Complete	OX336366.1	58614857	58658428	-	2047.4	1050	https://www.orthodb.org/v10?query=308at6447	Pyruvate carboxylase
311at6447	Complete	OX336366.1	61907093	62035465	-	2064.4	1408	https://www.orthodb.org/v10?query=311at6447	Sodium channel protein
312at6447	Complete	OX336370.1	55627533	55730914	-	2300.9	1537	https://www.orthodb.org/v10?query=312at6447	Sodium channel protein
313at6447	Complete	OX336381.1	10807279	10847917	+	2264.4	1215	https://www.orthodb.org/v10?query=313at6447	DNA topoisomerase 2
314at6447	Complete	OX336381.1	3762130	3817916	+	1205.4	885	https://www.orthodb.org/v10?query=314at6447	Nephrocystin-3
315at6447	Complete	OX336367.1	69139659	69227085	+	1483.9	1052	https://www.orthodb.org/v10?query=315at6447	Nuclear pore complex protein Nup155
318at6447	Complete	OX336375.1	38078427	38118625	+	1696.2	920	https://www.orthodb.org/v10?query=318at6447	DNA polymerase
320at6447	Complete	OX336367.1	53041972	53081902	-	1815.9	1014	https://www.orthodb.org/v10?query=320at6447	WASH complex subunit strumpellin-like
321at6447	Complete	OX336368.1	65686109	65814133	+	1629.2	1150	https://www.orthodb.org/v10?query=321at6447	androglobin-like
322at6447	Complete	OX336377.1	33802618	33883859	-	1849.1	931	https://www.orthodb.org/v10?query=322at6447	ATP-citrate synthase
325at6447	Complete	OX336368.1	71900563	71961999	-	2214.8	1485	https://www.orthodb.org/v10?query=325at6447	LOW QUALITY PROTEIN: DNA polymerase theta-like
327at6447	Complete	OX336366.1	6401843	6504720	-	2028.3	1255	https://www.orthodb.org/v10?query=327at6447	ral GTPase-activating protein subunit beta-like isoform X1
328at6447	Complete	OX336369.1	44250450	44320289	-	1749.8	1384	https://www.orthodb.org/v10?query=328at6447	transmembrane protein 131-like
334at6447	Complete	OX336365.1	43188154	43336073	+	1630.2	1989	https://www.orthodb.org/v10?query=334at6447	V4A2B7_LOTGI
336at6447	Complete	OX336371.1	18059930	18102634	-	1822.1	1090	https://www.orthodb.org/v10?query=336at6447	isoleucine--tRNA ligase, cytoplasmic-like
337at6447	Complete	OX336379.1	17384305	17438236	+	2087.2	1443	https://www.orthodb.org/v10?query=337at6447	mediator of RNA polymerase II transcription subunit 12-like protein isoform X1
338at6447	Complete	OX336368.1	9133734	9199555	+	1385.8	1448	https://www.orthodb.org/v10?query=338at6447	small subunit processome component 20 homolog
342at6447	Duplicated	OX336369.1	2802717	2842932	+	1537.5	804	https://www.orthodb.org/v10?query=342at6447	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like isoform X1
342at6447	Duplicated	OX336369.1	2862024	2898615	-	1333.8	771	https://www.orthodb.org/v10?query=342at6447	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like isoform X1
343at6447	Missing
347at6447	Complete	OX336374.1	4614439	4665288	-	1621.7	1026	https://www.orthodb.org/v10?query=347at6447	Structural maintenance of chromosomes protein
348at6447	Missing
352at6447	Complete	OX336373.1	30877337	30950498	+	2105.0	1474	https://www.orthodb.org/v10?query=352at6447	chromodomain-helicase-DNA-binding protein 8 isoform X1
353at6447	Complete	OX336373.1	53876437	53945640	+	1264.6	899	https://www.orthodb.org/v10?query=353at6447	protein broad-minded-like
355at6447	Complete	OX336367.1	49857768	49876502	+	1824.6	1051	https://www.orthodb.org/v10?query=355at6447	WD40-repeat-containing domain
356at6447	Complete	OX336366.1	67481695	67570281	-	1622.5	1015	https://www.orthodb.org/v10?query=356at6447	cilia- and flagella-associated protein 61
360at6447	Complete	OX336367.1	39694963	39743189	-	2033.5	1132	https://www.orthodb.org/v10?query=360at6447	DNA (cytosine-5)-methyltransferase 1-like
362at6447	Complete	OX336375.1	56964572	57019464	-	1655.9	1447	https://www.orthodb.org/v10?query=362at6447	uncharacterized protein LOC101848629
364at6447	Complete	OX336367.1	76531800	76602504	+	1571.6	949	https://www.orthodb.org/v10?query=364at6447	voltage-dependent calcium channel subunit alpha-2/delta-1
365at6447	Complete	OX336380.1	13657694	13754505	+	1726.8	1832	https://www.orthodb.org/v10?query=365at6447	Multiple epidermal growth factor-like domains 8  
366at6447	Missing
367at6447	Complete	OX336366.1	27319233	27360799	-	1901.6	1456	https://www.orthodb.org/v10?query=367at6447	WD repeat-containing protein 81
370at6447	Complete	OX336368.1	27812613	27955236	-	1765.8	2024	https://www.orthodb.org/v10?query=370at6447	afadin-like
372at6447	Complete	OX336370.1	33974854	34032116	-	1570.3	921	https://www.orthodb.org/v10?query=372at6447	Myosin-Ie  
373at6447	Complete	OX336380.1	44116310	44190512	-	1780.1	973	https://www.orthodb.org/v10?query=373at6447	LOW QUALITY PROTEIN: ATP-dependent RNA helicase A-like
374at6447	Complete	OX336367.1	27222945	27282171	-	2107.3	1455	https://www.orthodb.org/v10?query=374at6447	sperm flagellar protein 2 isoform X1
378at6447	Complete	OX336366.1	14993567	15038834	-	2362.4	1756	https://www.orthodb.org/v10?query=378at6447	endoribonuclease Dicer-like
379at6447	Complete	OX336376.1	3451368	3585190	-	1528.1	833	https://www.orthodb.org/v10?query=379at6447	Calcium-transporting ATPase
382at6447	Complete	OX336371.1	49995940	50060465	-	1908.1	1136	https://www.orthodb.org/v10?query=382at6447	Structural maintenance of chromosomes protein
383at6447	Complete	OX336367.1	62393403	62730344	+	2449.4	1872	https://www.orthodb.org/v10?query=383at6447	multiple PDZ domain protein isoform X1
388at6447	Complete	OX336380.1	12543205	12589767	-	1732.1	1013	https://www.orthodb.org/v10?query=388at6447	P-type ATPase
391at6447	Complete	OX336365.1	41307875	41490764	+	1750.1	894	https://www.orthodb.org/v10?query=391at6447	calcium-activated potassium channel subunit alpha-1 isoform X1
393at6447	Duplicated	OX336368.1	145722	212062	-	1104.8	1129	https://www.orthodb.org/v10?query=393at6447	mediator of RNA polymerase II transcription subunit 14-like
393at6447	Duplicated	OX336368.1	34692914	34780511	+	1166.1	1011	https://www.orthodb.org/v10?query=393at6447	mediator of RNA polymerase II transcription subunit 14-like
394at6447	Complete	OX336379.1	11958084	12087867	+	1753.4	1136	https://www.orthodb.org/v10?query=394at6447	DNA polymerase
395at6447	Complete	OX336372.1	7630946	7891035	-	1472.3	1080	https://www.orthodb.org/v10?query=395at6447	CLIP-associating protein 1 isoform X1
396at6447	Complete	OX336365.1	67322964	67385600	-	2242.9	1614	https://www.orthodb.org/v10?query=396at6447	nucleosome-remodeling factor subunit NURF301-like isoform X1
397at6447	Complete	OX336379.1	27998975	28046099	+	1460.9	929	https://www.orthodb.org/v10?query=397at6447	importin-5-like
399at6447	Complete	OX336366.1	22868127	22961651	-	1665.9	1205	https://www.orthodb.org/v10?query=399at6447	DNA helicase INO80
400at6447	Complete	OX336369.1	65525245	65591490	-	1554.2	1055	https://www.orthodb.org/v10?query=400at6447	Linear gramicidin synthase subunit D
404at6447	Complete	OX336369.1	42339907	42416669	+	1927.5	1293	https://www.orthodb.org/v10?query=404at6447	uncharacterized protein LOC106882836
409at6447	Complete	OX336367.1	40170021	40250288	-	1521.6	776	https://www.orthodb.org/v10?query=409at6447	Transportin-1
410at6447	Complete	OX336369.1	11945063	11975096	+	2068.3	1376	https://www.orthodb.org/v10?query=410at6447	histone acetyltransferase p300-like
411at6447	Complete	OX336367.1	14527499	14563150	-	1669.8	918	https://www.orthodb.org/v10?query=411at6447	dihydropyrimidine dehydrogenase 
412at6447	Complete	OX336379.1	27011957	27048773	-	1584.9	889	https://www.orthodb.org/v10?query=412at6447	cohesin subunit SA-1-like isoform X1
413at6447	Complete	OX336371.1	13413478	13467573	+	1779.1	1018	https://www.orthodb.org/v10?query=413at6447	WASH complex subunit 7-like isoform X1
414at6447	Complete	OX336367.1	7247704	7400123	+	1577.0	1013	https://www.orthodb.org/v10?query=414at6447	RAB6A-GEF complex partner protein 1-like
416at6447	Complete	OX336373.1	28925575	28970462	-	1482.7	871	https://www.orthodb.org/v10?query=416at6447	membrane-bound transcription factor site-1 protease isoform X1
417at6447	Complete	OX336367.1	9908135	9974977	+	1357.5	885	https://www.orthodb.org/v10?query=417at6447	Structural maintenance of chromosomes protein
418at6447	Complete	OX336367.1	32343516	32385434	-	1698.1	875	https://www.orthodb.org/v10?query=418at6447	Superkiller viralicidic activity 2-like 2
419at6447	Complete	OX336367.1	54577782	54737651	+	1575.4	876	https://www.orthodb.org/v10?query=419at6447	glycine dehydrogenase (decarboxylating), mitochondrial isoform X1
420at6447	Complete	OX336367.1	47145056	47257416	-	1478.2	1079	https://www.orthodb.org/v10?query=420at6447	rho-associated protein kinase 2-like
421at6447	Complete	OX336373.1	51576609	51695203	-	1987.7	1894	https://www.orthodb.org/v10?query=421at6447	FH1/FH2 domain-containing protein 3 isoform X1
423at6447	Fragmented	OX336376.1	45608584	45639112	+	1491.5	1010	https://www.orthodb.org/v10?query=423at6447	Carboxypeptidase D
428at6447	Complete	OX336365.1	31236434	31268918	-	1563.5	1137	https://www.orthodb.org/v10?query=428at6447	probable helicase with zinc finger domain
430at6447	Fragmented	OX336368.1	8956675	9009095	-	1387.9	949	https://www.orthodb.org/v10?query=430at6447	DNA-directed RNA polymerase I subunit RPA1-like
433at6447	Complete	OX336368.1	56550506	56626979	-	1668.1	973	https://www.orthodb.org/v10?query=433at6447	Myosin-VI
434at6447	Complete	OX336374.1	36669232	36700113	-	771.9	521	https://www.orthodb.org/v10?query=434at6447	Alsin  
437at6447	Missing
441at6447	Complete	OX336375.1	41935675	41988892	-	1484.6	869	https://www.orthodb.org/v10?query=441at6447	importin-7-like
443at6447	Complete	OX336369.1	32693616	32770571	+	1588.0	939	https://www.orthodb.org/v10?query=443at6447	leucine--tRNA ligase, cytoplasmic-like
445at6447	Complete	OX336375.1	864994	972152	+	1539.8	1090	https://www.orthodb.org/v10?query=445at6447	DEP domain-containing protein 5 isoform X1
446at6447	Complete	OX336368.1	39059019	39101041	+	1280.0	700	https://www.orthodb.org/v10?query=446at6447	Coatomer subunit beta
451at6447	Complete	OX336370.1	34403512	34476626	+	1516.1	912	https://www.orthodb.org/v10?query=451at6447	IQ domain-containing protein H isoform X1
452at6447	Complete	OX336369.1	21209964	21267974	+	1701.3	1046	https://www.orthodb.org/v10?query=452at6447	phosphoribosylformylglycinamidine synthase-like
453at6447	Complete	OX336373.1	51788424	51854135	+	1428.1	1163	https://www.orthodb.org/v10?query=453at6447	WD40-repeat-containing domain
455at6447	Complete	OX336380.1	21064125	21119464	-	1630.7	1014	https://www.orthodb.org/v10?query=455at6447	helicase SKI2W-like
457at6447	Complete	OX336380.1	19364991	19487213	-	1481.9	1027	https://www.orthodb.org/v10?query=457at6447	uncharacterized protein LOC106873452
458at6447	Complete	OX336375.1	25295054	25406151	+	1270.0	943	https://www.orthodb.org/v10?query=458at6447	tetratricopeptide repeat protein 17 isoform X1
