# BUSCO version is: 5.4.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
148067at33208	Complete	OX336370.1	30566094	30627471	-	594.4	681
148325at33208	Complete	OX336367.1	74231936	74258846	-	356.5	308
152327at33208	Complete	OX336369.1	8501718	8527894	+	390.2	336
152977at33208	Complete	OX336383.1	1060523	1110701	+	640.3	484
153034at33208	Complete	OX336367.1	42150950	42199532	-	784.8	502
157109at33208	Complete	OX336365.1	62944482	62964231	-	273.0	249
157138at33208	Fragmented	OX336373.1	13111833	13119487	-	184.7	176
158845at33208	Complete	OX336378.1	22369860	22387416	+	428.2	475
158962at33208	Complete	OX336377.1	41737264	41897737	-	826.3	549
162821at33208	Complete	OX336374.1	31537122	31543368	+	631.1	427
164767at33208	Complete	OX336367.1	70970200	71021748	-	950.7	693
166097at33208	Complete	OX336372.1	23200436	23243086	+	784.3	491
168850at33208	Complete	OX336375.1	7449837	7451732	-	854.5	544
168924at33208	Complete	OX336378.1	39992159	40022411	+	471.8	415
169864at33208	Complete	OX336374.1	9506094	9566974	-	467.6	406
172677at33208	Complete	OX336376.1	30718925	30754162	+	184.2	242
176247at33208	Complete	OX336366.1	40849955	40901929	+	356.1	336
177718at33208	Complete	OX336367.1	67476067	67497209	+	447.5	377
177858at33208	Complete	OX336373.1	22226930	22490119	-	610.4	549
178537at33208	Complete	OX336367.1	68508852	68543080	-	966.1	465
179485at33208	Complete	OX336374.1	29683897	29705664	-	406.8	298
180808at33208	Complete	OX336369.1	46176521	46197806	+	768.8	478
182834at33208	Complete	OX336380.1	4032840	4069240	+	748.7	546
184508at33208	Complete	OX336366.1	1134036	1162052	-	641.6	453
184717at33208	Complete	OX336369.1	33625583	33655616	+	952.5	523
186208at33208	Complete	OX336375.1	27764590	27815710	-	1192.5	742
186707at33208	Complete	OX336365.1	35624269	35669033	+	411.7	452
187280at33208	Complete	OX336370.1	45148169	45189113	-	646.2	462
189414at33208	Complete	OX336377.1	290034	308204	+	502.5	423
190726at33208	Complete	OX336365.1	41863488	41882127	-	586.5	392
191938at33208	Complete	OX336371.1	56134919	56186703	+	483.1	439
192250at33208	Complete	OX336374.1	45688282	45709484	-	427.6	296
194754at33208	Complete	OX336371.1	57651669	57707148	-	1112.9	773
195986at33208	Complete	OX336368.1	38574036	38621262	+	879.7	607
196950at33208	Complete	OX336376.1	52684561	52710906	+	592.2	431
197549at33208	Missing
197652at33208	Complete	OX336383.1	16125842	16169787	-	759.0	430
200997at33208	Complete	OX336365.1	19176799	19196920	+	649.5	470
201397at33208	Missing
202545at33208	Complete	OX336375.1	32816697	32840196	-	460.2	350
203128at33208	Complete	OX336371.1	3092709	3153213	+	807.6	438
203698at33208	Complete	OX336376.1	32971825	33017779	+	1068.6	668
205220at33208	Complete	OX336376.1	662576	707217	-	1000.5	644
206786at33208	Complete	OX336373.1	58073253	58098091	-	450.0	374
206858at33208	Complete	OX336372.1	124656	180316	+	681.1	504
207599at33208	Complete	OX336365.1	57915753	57953067	-	499.4	369
208219at33208	Complete	OX336365.1	65428852	65445048	-	357.3	342
210614at33208	Complete	OX336366.1	72546576	72586725	+	593.3	633
212972at33208	Complete	OX336366.1	2004796	2039374	-	537.6	383
214788at33208	Complete	OX336371.1	1101787	1147643	-	668.4	525
215654at33208	Complete	OX336370.1	41332269	41337340	-	633.4	429
216257at33208	Fragmented	OX336374.1	44457031	44491463	+	212.5	184
216563at33208	Complete	OX336368.1	56118990	56146970	+	282.8	292
218441at33208	Complete	OX336366.1	52827863	52861992	+	292.7	282
219795at33208	Complete	OX336373.1	58287789	58319159	-	596.1	490
219856at33208	Complete	OX336365.1	23809208	23835617	+	661.4	393
222489at33208	Complete	OX336369.1	1316676	1343202	+	589.1	369
223234at33208	Complete	OX336383.1	19056637	19067957	+	292.5	350
224280at33208	Complete	OX336366.1	62217365	62243172	+	808.6	439
226335at33208	Complete	OX336368.1	63196604	63239135	+	567.5	363
226941at33208	Complete	OX336378.1	42880492	42897829	+	565.6	395
227087at33208	Complete	OX336370.1	22393003	22441167	-	841.8	743
227453at33208	Complete	OX336380.1	42034098	42049293	+	577.2	382
227979at33208	Complete	OX336373.1	8463551	8495593	+	778.0	530
231157at33208	Complete	OX336374.1	38696786	38728775	-	498.0	389
231700at33208	Complete	OX336366.1	75045323	75058285	+	462.2	606
234290at33208	Complete	OX336381.1	27245684	27246925	+	280.0	572
235149at33208	Complete	OX336374.1	2232362	2262837	+	397.4	424
235430at33208	Complete	OX336370.1	68270290	68430103	+	375.1	341
235458at33208	Complete	OX336376.1	39761083	39779652	-	401.0	343
239016at33208	Complete	OX336376.1	17665699	17716484	+	426.8	411
239149at33208	Missing
239597at33208	Complete	OX336369.1	63402651	63432016	+	454.6	361
240437at33208	Complete	OX336367.1	44340325	44368191	+	429.4	227
244863at33208	Complete	OX336368.1	60270682	60327001	+	502.3	515
245482at33208	Complete	OX336376.1	5083332	5123622	-	577.5	363
245567at33208	Complete	OX336371.1	18916211	18957617	+	480.2	358
246241at33208	Complete	OX336365.1	29133490	29160398	-	502.5	358
247183at33208	Complete	OX336380.1	5028962	5060495	-	806.0	590
247905at33208	Complete	OX336367.1	31835316	31869760	-	172.1	352
249486at33208	Complete	OX336366.1	44909685	44978721	-	533.3	402
251076at33208	Complete	OX336365.1	77712830	77737931	+	566.3	315
251577at33208	Complete	OX336376.1	10802429	10822787	-	277.5	226
255117at33208	Complete	OX336370.1	2098099	2128512	-	1104.8	713
255242at33208	Complete	OX336372.1	42518166	42543014	+	360.3	276
255924at33208	Complete	OX336382.1	29200717	29219839	-	684.8	406
257141at33208	Complete	OX336378.1	14693374	14697848	+	388.2	304
257339at33208	Complete	OX336371.1	65560338	65574643	-	266.4	289
259581at33208	Complete	OX336374.1	34062145	34095590	-	236.5	411
260752at33208	Complete	OX336366.1	61378106	61408284	-	541.6	500
261284at33208	Complete	OX336372.1	60034083	60098081	+	649.7	611
261614at33208	Complete	OX336373.1	53600405	53635723	+	819.2	527
262757at33208	Complete	OX336366.1	37295735	37333052	-	248.6	272
266460at33208	Complete	OX336371.1	34711613	34728772	-	632.2	479
266469at33208	Missing
266808at33208	Complete	OX336378.1	16053450	16085285	-	549.7	337
267439at33208	Complete	OX336372.1	26786670	26816568	-	720.2	408
268134at33208	Complete	OX336366.1	45400312	45412525	+	287.8	253
268397at33208	Complete	OX336376.1	26290956	26350300	-	917.3	606
270594at33208	Complete	OX336369.1	18615145	18658238	+	589.4	462
271297at33208	Complete	OX336365.1	15951102	15959857	-	337.8	231
271742at33208	Complete	OX336365.1	26263914	26287446	+	581.9	461
272605at33208	Complete	OX336370.1	34150383	34166680	+	552.8	379
273040at33208	Complete	OX336368.1	24827435	24854640	+	178.6	189
273367at33208	Complete	OX336380.1	7164632	7177728	+	112.0	239
273989at33208	Complete	OX336375.1	45905823	45915240	-	591.0	392
274044at33208	Complete	OX336366.1	54799144	54823650	-	403.2	276
274064at33208	Complete	OX336371.1	38126307	38163842	+	442.6	265
274769at33208	Complete	OX336367.1	74494331	74535524	+	506.6	381
274992at33208	Complete	OX336378.1	21825843	21853572	-	655.4	354
277935at33208	Complete	OX336374.1	33193729	33226712	+	564.8	513
278227at33208	Complete	OX336376.1	35122114	35140619	+	412.6	341
279631at33208	Complete	OX336377.1	5125401	5165976	-	586.2	523
279992at33208	Complete	OX336375.1	36664262	36689199	+	416.1	337
280914at33208	Complete	OX336372.1	15091706	15115998	+	354.9	388
281304at33208	Complete	OX336367.1	50900788	50912553	+	333.1	323
281693at33208	Complete	OX336369.1	45659859	45692074	+	890.2	645
283637at33208	Complete	OX336370.1	16765155	16796931	-	681.2	360
284059at33208	Complete	OX336367.1	45831324	45851469	+	342.4	269
285146at33208	Complete	OX336378.1	6765734	6792168	+	449.6	312
285902at33208	Complete	OX336365.1	11325539	11363361	-	419.7	361
285966at33208	Complete	OX336366.1	78030911	78038880	+	394.2	379
286553at33208	Complete	OX336366.1	12639646	12640845	+	295.7	289
289235at33208	Complete	OX336374.1	37293776	37299346	-	223.7	265
289928at33208	Complete	OX336374.1	41614814	41630204	-	391.3	334
291505at33208	Complete	OX336373.1	10645673	10680944	-	403.2	245
291875at33208	Complete	OX336370.1	30636663	30653555	+	340.2	793
295556at33208	Complete	OX336366.1	62180290	62203996	-	455.2	629
295775at33208	Complete	OX336366.1	76503028	76559014	+	319.9	265
300303at33208	Complete	OX336371.1	11631049	11776287	+	387.4	406
301572at33208	Complete	OX336365.1	2347325	2366567	-	610.5	400
302186at33208	Complete	OX336374.1	44244912	44333178	+	209.7	363
302279at33208	Complete	OX336366.1	38480512	38499022	-	521.0	306
302921at33208	Fragmented	OX336370.1	47864924	47868808	-	71.7	102
303117at33208	Complete	OX336375.1	13997598	14047060	+	381.0	321
304388at33208	Missing
305260at33208	Complete	OX336367.1	15923101	15943384	-	578.8	341
306101at33208	Complete	OX336371.1	2201076	2224824	-	353.9	291
307109at33208	Complete	OX336369.1	50124952	50136063	+	336.2	236
308610at33208	Complete	OX336378.1	5993116	6012206	+	571.3	363
311438at33208	Complete	OX336370.1	45479951	45509400	-	373.6	260
311758at33208	Complete	OX336370.1	58505267	58525907	+	601.1	433
311761at33208	Complete	OX336376.1	34087832	34110922	+	392.2	411
312577at33208	Complete	OX336365.1	47904256	47920311	+	158.7	273
313091at33208	Complete	OX336370.1	39619867	39640374	-	456.7	298
315044at33208	Complete	OX336366.1	52542768	52593768	-	564.9	406
315393at33208	Complete	OX336374.1	5834310	5844836	-	490.0	329
317470at33208	Complete	OX336373.1	36105737	36146191	-	277.2	261
318483at33208	Complete	OX336381.1	15438458	15467927	+	461.6	313
318532at33208	Complete	OX336379.1	46884224	46918011	-	590.3	336
319574at33208	Complete	OX336374.1	39730915	39868176	+	216.8	209
320390at33208	Complete	OX336370.1	16988778	17024763	-	632.8	528
321332at33208	Complete	OX336372.1	50742159	50783977	+	434.6	493
323399at33208	Complete	OX336366.1	34054713	34074242	+	588.2	370
323473at33208	Complete	OX336380.1	24361525	24377913	-	435.2	261
324249at33208	Complete	OX336380.1	28302297	28314658	+	217.1	240
325183at33208	Complete	OX336383.1	4866968	4882264	-	557.0	345
327301at33208	Complete	OX336369.1	2629797	2648721	+	272.4	249
331112at33208	Complete	OX336377.1	22211892	22231493	-	558.9	407
331186at33208	Complete	OX336368.1	33460582	33476406	-	227.7	214
332870at33208	Complete	OX336369.1	52151612	52172214	-	285.0	223
333062at33208	Complete	OX336367.1	62880931	62903318	+	490.5	350
333800at33208	Complete	OX336378.1	16597247	17038658	-	605.5	599
334272at33208	Complete	OX336370.1	53269076	53281141	+	234.6	217
334331at33208	Complete	OX336379.1	36652867	36680334	+	652.1	463
334336at33208	Complete	OX336365.1	29168242	29187485	+	531.1	403
334342at33208	Complete	OX336374.1	4337390	4416191	-	587.4	631
334764at33208	Complete	OX336366.1	27561875	27578381	+	418.5	292
334820at33208	Missing
335107at33208	Complete	OX336368.1	30069823	30088451	+	385.1	272
336647at33208	Complete	OX336380.1	48043441	48068053	-	349.3	441
338191at33208	Complete	OX336372.1	12465898	12515573	+	732.4	490
338482at33208	Complete	OX336371.1	42360344	42380312	-	393.4	417
339127at33208	Complete	OX336373.1	40519936	40545819	+	336.6	391
339319at33208	Complete	OX336370.1	48652909	48665971	-	267.7	241
340558at33208	Complete	OX336382.1	28067660	28090586	-	523.0	311
340577at33208	Complete	OX336366.1	48283542	48314116	+	599.7	482
344338at33208	Duplicated	OX336367.1	18825254	18890449	-	427.0	309
344338at33208	Duplicated	OX336376.1	3365219	3397709	+	363.6	308
344346at33208	Fragmented	OX336370.1	44807340	44817814	+	112.2	210
344442at33208	Complete	OX336375.1	54549681	54569184	-	255.3	200
344581at33208	Complete	OX336380.1	17671193	17691572	-	369.6	243
344611at33208	Complete	OX336375.1	34900175	34912486	-	149.7	179
345099at33208	Complete	OX336373.1	15992784	16037532	-	763.1	651
345959at33208	Fragmented	OX336371.1	26542880	26545203	+	137.9	87
346541at33208	Complete	OX336366.1	40342175	40366727	-	601.8	430
347600at33208	Complete	OX336381.1	14942369	14957450	+	436.4	294
348449at33208	Complete	OX336368.1	21983231	21999335	-	143.8	181
348544at33208	Complete	OX336366.1	23487772	23507504	-	469.8	339
348761at33208	Fragmented	OX336376.1	38889240	38895639	+	153.5	152
349064at33208	Complete	OX336379.1	33024897	33047366	-	404.3	287
349627at33208	Complete	OX336367.1	22369007	22402758	+	270.9	286
351226at33208	Complete	OX336382.1	6904677	6906191	-	191.5	202
352600at33208	Complete	OX336380.1	48541340	48566881	+	534.8	296
352854at33208	Complete	OX336382.1	18081534	18100978	+	522.0	359
353286at33208	Complete	OX336365.1	56881430	56927194	+	328.1	296
353768at33208	Complete	OX336375.1	52550965	52622624	-	343.3	271
354829at33208	Complete	OX336367.1	20867791	20881452	-	535.8	284
354949at33208	Complete	OX336373.1	39359989	39403837	-	347.7	245
355210at33208	Complete	OX336375.1	44979242	45003859	-	456.0	420
355739at33208	Complete	OX336365.1	39087213	39107581	+	285.0	235
356175at33208	Complete	OX336367.1	47689619	47713371	+	235.9	256
356334at33208	Complete	OX336375.1	22769945	22840407	+	695.3	675
356503at33208	Complete	OX336371.1	14248640	14264476	-	357.0	267
357580at33208	Complete	OX336382.1	20744021	20804277	-	391.1	252
359075at33208	Complete	OX336369.1	11184251	11208908	-	446.3	427
359324at33208	Complete	OX336367.1	8426177	8499649	+	185.4	172
359369at33208	Complete	OX336366.1	59519828	59545592	-	332.2	260
359532at33208	Complete	OX336373.1	32511799	32524555	+	514.2	404
360379at33208	Complete	OX336371.1	61925583	61960017	-	305.6	248
360753at33208	Complete	OX336366.1	67597129	67642904	-	326.6	216
361100at33208	Complete	OX336365.1	42576771	42596975	-	434.4	269
361203at33208	Complete	OX336382.1	27660984	27686902	-	547.7	363
361216at33208	Complete	OX336378.1	1542982	1558309	-	356.4	291
363634at33208	Fragmented	OX336378.1	8473306	8479445	-	132.8	144
363840at33208	Complete	OX336365.1	33265347	33282507	-	267.1	287
363851at33208	Complete	OX336376.1	16904645	16925847	-	372.6	303
364383at33208	Complete	OX336371.1	36907062	36927619	-	483.7	334
364694at33208	Complete	OX336372.1	45925228	45951075	-	768.0	489
365323at33208	Complete	OX336372.1	38004910	38008646	+	401.1	297
365561at33208	Complete	OX336366.1	64361536	64369203	+	602.2	344
365691at33208	Complete	OX336372.1	29785875	29841246	-	280.0	257
366124at33208	Complete	OX336367.1	43009143	43021762	+	229.9	241
366814at33208	Complete	OX336372.1	44427185	44452439	-	508.5	375
366936at33208	Complete	OX336377.1	15980455	15996636	+	404.8	208
367493at33208	Complete	OX336370.1	16849676	16873429	-	402.4	333
367551at33208	Complete	OX336373.1	50153435	50169066	-	607.3	416
367596at33208	Fragmented	OX336373.1	31320820	31344220	+	374.6	238
367957at33208	Complete	OX336379.1	14672066	14709235	+	460.5	301
368565at33208	Complete	OX336366.1	72381505	72414577	+	466.4	309
368670at33208	Duplicated	OX336371.1	45475063	45485427	-	295.5	201
368670at33208	Duplicated	OX336371.1	1564623	1574145	-	275.6	201
368875at33208	Complete	OX336367.1	33097785	33110248	-	205.3	154
371241at33208	Complete	OX336366.1	22225714	22253723	+	229.2	173
371297at33208	Complete	OX336369.1	24906063	24938084	+	595.7	328
371526at33208	Complete	OX336377.1	46208568	46223845	-	483.9	245
372257at33208	Complete	OX336367.1	40089346	40105349	-	185.1	165
372707at33208	Complete	OX336377.1	21841293	21855850	+	373.8	238
373040at33208	Complete	OX336365.1	31889003	31922640	-	450.0	252
376982at33208	Complete	OX336382.1	34196975	34225011	-	488.8	251
378033at33208	Complete	OX336375.1	26854340	26887121	+	384.3	405
378316at33208	Complete	OX336373.1	52176706	52193212	+	457.7	268
378768at33208	Complete	OX336377.1	22797351	22834126	-	487.6	257
378913at33208	Complete	OX336372.1	15213211	15261194	+	212.9	150
379076at33208	Complete	OX336369.1	58835807	58843798	+	173.6	149
379636at33208	Complete	OX336368.1	72806990	72843688	+	351.6	296
379771at33208	Complete	OX336367.1	8659786	8844787	+	243.6	246
380583at33208	Complete	OX336374.1	21412289	21437677	-	492.3	273
381303at33208	Complete	OX336367.1	10555435	10582989	+	182.9	218
382000at33208	Complete	OX336372.1	44326154	44331837	+	160.6	201
382262at33208	Complete	OX336366.1	77686226	77689900	-	74.5	79
382750at33208	Complete	OX336373.1	40824683	40835500	+	401.5	315
383313at33208	Complete	OX336367.1	70370809	70442515	+	374.8	291
384187at33208	Complete	OX336366.1	30245650	30261957	-	723.7	421
386666at33208	Complete	OX336371.1	51291540	51298581	+	164.1	199
387079at33208	Complete	OX336377.1	53906862	53923074	+	274.6	211
387117at33208	Complete	OX336373.1	40460128	40475838	+	170.4	196
387878at33208	Complete	OX336365.1	84453643	84482767	+	369.0	344
389367at33208	Complete	OX336369.1	30652192	30673549	-	394.8	241
389527at33208	Complete	OX336379.1	37929600	37963512	+	710.7	548
389570at33208	Complete	OX336373.1	23019852	23035689	-	442.7	286
389591at33208	Complete	OX336369.1	10486180	10522158	+	237.3	181
390192at33208	Complete	OX336367.1	67508098	67512783	-	445.6	313
390402at33208	Complete	OX336376.1	20111176	20139860	+	340.9	236
391896at33208	Complete	OX336381.1	9066357	9077404	+	427.4	267
393219at33208	Complete	OX336377.1	43221152	43229851	+	253.8	276
393291at33208	Complete	OX336376.1	50828324	50859620	-	494.9	299
393419at33208	Complete	OX336373.1	30996337	31044190	-	429.0	395
393895at33208	Complete	OX336372.1	12199827	12221966	+	687.2	421
395147at33208	Complete	OX336365.1	68861104	68904072	+	366.8	299
395183at33208	Complete	OX336366.1	9724434	9732450	+	301.1	173
395556at33208	Complete	OX336366.1	17890284	17891273	-	306.0	278
395919at33208	Fragmented	OX336371.1	27481733	27490925	-	278.6	187
395948at33208	Fragmented	OX336369.1	48668531	48670250	+	125.8	73
396237at33208	Complete	OX336367.1	40560916	40578560	+	348.7	258
397019at33208	Complete	OX336381.1	31171059	31191029	+	533.0	320
397659at33208	Complete	OX336372.1	26159423	26181666	-	232.0	274
398013at33208	Complete	OX336371.1	35477154	35502276	+	434.7	273
398202at33208	Complete	OX336377.1	30617853	30650966	+	313.1	288
398607at33208	Complete	OX336369.1	60781017	60821040	+	329.9	212
399092at33208	Complete	OX336376.1	17635020	17656475	-	233.0	164
399439at33208	Missing
400042at33208	Fragmented	OX336381.1	1297992	1304362	-	183.3	119
401196at33208	Complete	OX336372.1	44900912	44909835	+	143.5	124
401220at33208	Complete	OX336381.1	11265994	11293860	-	473.7	301
401679at33208	Complete	OX336382.1	25579597	25592413	+	83.3	90
401779at33208	Complete	OX336367.1	56248759	56265610	+	443.8	274
403171at33208	Complete	OX336367.1	59743847	59762935	-	321.1	322
403817at33208	Complete	OX336375.1	42130723	42139851	+	75.4	105
404988at33208	Complete	OX336371.1	40154163	40156047	+	270.5	343
405257at33208	Complete	OX336372.1	41160051	41177053	-	444.6	359
406927at33208	Complete	OX336375.1	52312535	52314515	+	110.0	95
407472at33208	Complete	OX336367.1	35824399	35847967	-	405.1	268
409006at33208	Complete	OX336367.1	51191535	51203144	+	379.3	317
409186at33208	Complete	OX336366.1	66937321	66958524	+	352.2	393
411515at33208	Complete	OX336374.1	2983013	3033157	-	366.2	260
411664at33208	Complete	OX336366.1	10371112	10386925	-	203.4	165
411755at33208	Complete	OX336377.1	23438371	23456589	+	392.5	284
412370at33208	Complete	OX336380.1	5447745	5463640	-	109.0	137
412542at33208	Complete	OX336380.1	14727526	14741153	-	367.5	230
412930at33208	Complete	OX336377.1	39751898	39799528	-	307.9	240
413334at33208	Complete	OX336375.1	46561927	46586900	-	276.1	244
414001at33208	Complete	OX336367.1	49615607	49635658	+	446.2	273
414571at33208	Complete	OX336380.1	22944548	22957523	+	415.0	247
414579at33208	Complete	OX336367.1	10621976	10639612	-	376.0	249
414603at33208	Complete	OX336366.1	4175580	4212799	-	427.0	475
415618at33208	Fragmented	OX336376.1	3744952	3745706	-	82.1	80
416175at33208	Complete	OX336371.1	34480280	34492236	+	318.6	261
418979at33208	Complete	OX336383.1	28028397	28052060	+	221.7	152
419502at33208	Complete	OX336376.1	1733846	1776378	-	217.9	209
419914at33208	Complete	OX336377.1	15703971	15732207	-	382.7	317
421396at33208	Complete	OX336379.1	46815759	46832067	-	333.4	239
421685at33208	Complete	OX336365.1	81971120	81978411	+	195.9	201
421732at33208	Complete	OX336377.1	3835243	3865724	-	177.6	246
422158at33208	Complete	OX336381.1	26038843	26049070	+	437.4	280
422751at33208	Complete	OX336366.1	18274115	18326183	-	518.9	349
423799at33208	Complete	OX336367.1	27290418	27299388	-	318.2	253
423848at33208	Complete	OX336365.1	30809718	30830026	-	165.6	172
424392at33208	Complete	OX336373.1	55314417	55327556	+	385.5	231
424569at33208	Missing
424646at33208	Complete	OX336378.1	19758389	19768880	-	161.1	189
427349at33208	Complete	OX336368.1	54452396	54466515	+	387.9	241
427789at33208	Complete	OX336380.1	17592685	17613198	-	369.1	332
428202at33208	Complete	OX336367.1	60251326	60278744	+	562.5	350
428754at33208	Complete	OX336375.1	50529869	50541565	+	207.9	230
429011at33208	Complete	OX336370.1	30995891	31005687	-	178.6	167
429274at33208	Complete	OX336367.1	28806652	28849029	-	240.6	196
429751at33208	Complete	OX336373.1	62465330	62481792	+	175.3	382
430701at33208	Complete	OX336371.1	58346822	58361000	-	188.0	162
432050at33208	Complete	OX336382.1	30625594	30658615	-	426.2	243
432155at33208	Complete	OX336382.1	11745878	11756760	+	171.5	157
432287at33208	Complete	OX336367.1	54276024	54320488	+	191.1	244
432522at33208	Complete	OX336365.1	45651935	45662057	-	135.9	123
433216at33208	Complete	OX336383.1	12789904	12807907	-	258.2	196
433606at33208	Complete	OX336379.1	42501617	42506382	-	398.6	222
434068at33208	Complete	OX336383.1	26758607	26808560	-	578.7	382
434863at33208	Complete	OX336368.1	1741578	1751248	+	310.9	245
435253at33208	Complete	OX336366.1	72337276	72373612	-	152.5	283
435678at33208	Complete	OX336377.1	16516853	16528653	+	262.0	257
435921at33208	Complete	OX336366.1	15139946	15149300	+	181.5	107
435939at33208	Complete	OX336382.1	22538353	22571072	-	175.7	163
436007at33208	Complete	OX336373.1	13608183	13660349	-	588.4	409
436098at33208	Complete	OX336373.1	36154031	36166225	+	251.7	200
436539at33208	Complete	OX336380.1	11865705	11878766	-	257.3	188
437653at33208	Complete	OX336380.1	47075204	47075794	-	167.2	161
438133at33208	Complete	OX336370.1	54376286	54399909	-	532.1	301
438433at33208	Complete	OX336368.1	10075852	10086675	-	360.8	201
438453at33208	Complete	OX336375.1	35887827	35900208	+	379.8	238
439736at33208	Complete	OX336372.1	59908004	59930439	+	505.0	315
440195at33208	Complete	OX336366.1	14527365	14542120	-	292.5	209
440493at33208	Complete	OX336366.1	16623277	16644363	-	274.9	249
441575at33208	Complete	OX336365.1	26767220	26784857	-	605.4	624
442169at33208	Complete	OX336371.1	62259096	62288999	+	322.6	258
442203at33208	Complete	OX336369.1	12163746	12174746	-	479.3	346
442823at33208	Complete	OX336382.1	25370661	25392709	-	403.2	325
443305at33208	Complete	OX336365.1	81162755	81198368	-	290.9	373
443518at33208	Complete	OX336365.1	17553228	17568302	+	389.8	235
443659at33208	Complete	OX336369.1	39364256	39384216	-	105.8	109
443928at33208	Complete	OX336378.1	36410535	36430695	+	451.0	291
444160at33208	Complete	OX336378.1	36311010	36311771	+	309.8	193
444231at33208	Complete	OX336369.1	64882796	64883449	+	127.0	126
445031at33208	Complete	OX336381.1	10290874	10297601	-	295.7	285
445034at33208	Complete	OX336371.1	39809588	39833919	+	364.4	316
445091at33208	Missing
446000at33208	Complete	OX336378.1	15520231	15525451	-	322.7	203
446031at33208	Complete	OX336372.1	13081370	13097058	-	346.3	241
447320at33208	Complete	OX336376.1	37752263	37776306	+	231.5	231
447400at33208	Complete	OX336381.1	29027140	29038186	-	144.1	185
